epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.16097049633339047,0.9346,0.07415090536675122,0.9708,0.001
2,0.1120948266170919,0.9568,0.04052439602195061,0.9828,0.001
3,0.11311598601415754,0.9534,0.041966774357966134,0.984,0.001
4,0.10337756955586373,0.9611,0.039447440637593874,0.9852,0.001
5,0.09898286384642124,0.9604,0.04599610760902302,0.984,0.001
6,0.09632870882824063,0.96245,0.0396207089099703,0.9836,0.001
7,0.10313757438659668,0.9603,0.038034378157123995,0.984,0.001
8,0.09351679482981562,0.96365,0.03820218464994768,0.9848,0.001
9,0.09664987043142319,0.9633,0.04646649857381759,0.9844,0.001
10,0.09195638693906368,0.9637,0.04408503752319685,0.9852,0.001
11,0.09472435065805912,0.9634,0.03941039432391312,0.9852,0.001
12,0.09347588126398623,0.96305,0.05499149190668677,0.978,0.001
13,0.09122200440987945,0.9662,0.03952888357364632,0.984,0.0005
14,0.08558361320495605,0.96575,0.035310738924095,0.9864,0.0005
15,0.0798449100608006,0.96795,0.034222705884323794,0.986,0.0005
16,0.08248681285697967,0.96785,0.03469404834912076,0.9864,0.0005
17,0.08489116380102932,0.9671,0.03266255473835936,0.9876,0.0005
18,0.08183831081874669,0.96795,0.03379892209423942,0.9868,0.0005
19,0.08030430093184114,0.9685,0.03348436491354664,0.9852,0.0005
20,0.07945913936719298,0.97045,0.04160602936591906,0.9848,0.0005
21,0.08663141450043768,0.9659,0.034476605325029525,0.986,0.0005
22,0.07614462417215109,0.969,0.03126266343508776,0.9872,0.0005
23,0.07871628917120398,0.969,0.033768618022551454,0.988,0.0005
24,0.0750251380810514,0.97075,0.03378116052532922,0.986,0.0005
25,0.07633634786503389,0.97175,0.03408667339230121,0.9876,0.0005
26,0.0769391108609736,0.97055,0.037957974750831534,0.988,0.0005
27,0.07968761457111687,0.97075,0.034665486131738754,0.9856,0.0005
28,0.07612345457989722,0.969,0.0352665595636597,0.9876,0.00025
29,0.07631151972170919,0.9701,0.03616273051711342,0.9864,0.00025
30,0.07194328319169581,0.9724,0.03408771783667557,0.9868,0.00025
